idCarpeta,Delito,Categoria,Sexo,Edad,TipoPersona,CalidadJuridica,competencia,Año_hecho,Mes_hecho,AlcaldiaHechos,ColoniaHechos,Calle_hechos,Calle_hechos2,latitud,longitud,Hora_Hechos_24,Tipo_de_delito,Años_sentencia ,Escala_clasificacion,Casos
8387566,ROBO A PASAJERO A BORDO DE PESERO COLECTIVO CON VIOLENCIA,ROBO A PASAJERO A BORDO DE MICROBUS CON Y SIN VIOLENCIA,Femenino,37.0,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2019,Marzo,Tláhuac,BARRIO SANTIAGO,TERRAPLEN,EJE 10 (SANTA CATARINA),19.31408,-98.96341,19,ROBO A PASAJERO A BORDO DE PESERO COLECTIVO CON VIOLENCIA,3,1,1
8376224,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,36.0,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2019,Marzo,Milpa Alta,SANTA MARTHA (VILLA MILPA ALTA),AGUASCALIENTES ESQUINA,CON BOULEVARD NUEVO LEON,19.19666,-99.02508,10,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,3,1,1
8625869,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,Masculino,35.0,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2020,Febrero,Benito Juárez,NARVARTE,DR. JOSE MARIA VERTIZ,,19.390449983658897,-99.1515162198539,11,ROBO DE OBJETOS,3,1,1
8508012,LESIONES INTENCIONALES POR GOLPES,DELITO DE BAJO IMPACTO,Masculino,62.0,FISICA,VICTIMA,FUERO COMUN,2019,Agosto,Iztapalapa,CHINAMPAC DE JUÁREZ,CALZADA IGNACIO ZARAGOZA NUMERO 1711,,19.38741,-99.04055,16,LESIONES INTENCIONALES POR GOLPES,2,1,1
8410396,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,27.0,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2019,Abril,Iztapalapa,MIXCOATL,BENITO  JUAREZ,,19.32569,-99.05112,23,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,3,1,1
8457891,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,30.0,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2019,Junio,Iztapalapa,LA ERA,AVENIDA VERGEL,AV. INSURGENTES,19.33867,-99.05136,7,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,3,1,1
8418115,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,35.0,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2019,Mayo,Iztacalco,AGRÍCOLA PANTITLAN,CALZD. IGNACIO ZARAGOZA,CALLE 2,19.40398,-99.06779,19,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,3,1,1
8636764,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2020,Febrero,Cuauhtémoc,CENTRO,SAN ANTONIO ABAD,CHIMALPOPOCA,19.422283699481106,-99.1336386002256,13,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,3,1,1
8423695,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,Masculino,28.0,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2019,Mayo,Azcapotzalco,SAN MIGUEL AMANTLA,AVE NIDA SANTA LUCIA,,19.47272,-99.20414,20,ROBO A NEGOCIO CON VIOLENCIA,3,1,1
8515981,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,,,MORAL,AGRAVIADO,FUERO COMUN,2019,Septiembre,Tlalpan,BARRIO DEL NIÑO JESÚS,MIGUEL HIDALGO,,19.2879,-99.16276,6,ROBO A NEGOCIO CON VIOLENCIA,3,1,1
8827526,ROBO DE VEHICULO DE SERVICIO PARTICULAR CON VIOLENCIA,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,Masculino,28.0,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2020,Diciembre,Tlalpan,HÉROES DE PADIERNA,AKIL,TIZIMIN,19.2891072524388,-99.2222607095578,19,ROBO DE VEHICULO DE SERVICIO PARTICULAR CON VIOLENCIA,5,2,1
8801477,ROBO DE VEHICULO DE SERVICIO PARTICULAR CON VIOLENCIA,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,Femenino,43.0,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2020,Noviembre,Xochimilco,SANTA CECILIA TEPETLAPA,HOMBRES ILUSTRES,,19.2153510018625,-99.0965127002106,23,ROBO DE VEHICULO DE SERVICIO PARTICULAR CON VIOLENCIA,5,2,1
8423321,ROBO DE VEHICULO DE SERVICIO PARTICULAR CON VIOLENCIA,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,Femenino,37.0,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2019,Mayo,Azcapotzalco,EL ROSARIO,JACARADAS,,19.50747,-99.20358,8,ROBO DE VEHICULO DE SERVICIO PARTICULAR CON VIOLENCIA,5,2,1
8426518,ROBO DE VEHICULO DE SERVICIO PARTICULAR CON VIOLENCIA,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,,,MORAL,AGRAVIADO,FUERO COMUN,2019,Mayo,Gustavo A. Madero,SAN JUAN DE ARAGÓN III SECCIÓN,AVENIDA 603,,19.45206,-99.07027,22,ROBO DE VEHICULO DE SERVICIO PARTICULAR CON VIOLENCIA,5,2,1
8447322,ROBO DE MOTOCICLETA SIN VIOLENCIA,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,Masculino,26.0,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2019,Junio,Benito Juárez,NARVARTE,CONCEPCION BEISTEGUI,UXMAL,19.3873,-99.15567,20,ROBO DE MOTOCICLETA SIN VIOLENCIA,5,2,1
8492931,ROBO DE MOTOCICLETA SIN VIOLENCIA,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,Masculino,,FISICA,OFENDIDO Y DENUNCIANTE,FUERO COMUN,2019,Agosto,Venustiano Carranza,20 DE NOVIEMBRE,TIPOGRAFIA,AV. CANAL DEL NTE.,19.44862,-99.1096,13,ROBO DE MOTOCICLETA SIN VIOLENCIA,5,2,1
8648431,ABUSO DE AUTORIDAD Y USO ILEGAL DE LA FUERZA PUBLICA,DELITO DE BAJO IMPACTO,Femenino,38.0,MORAL,VICTIMA Y DENUNCIANTE,FUERO COMUN,2020,Febrero,Coyoacán,LOS CIRUELOS,PLAZA COMERCIAL ZAPAMUNDI,CANAL DE MIRAMONTES,19.3216624211665,-99.1317892703015,8,ABUSO DE AUTORIDAD Y USO ILEGAL DE LA FUERZA PUBLICA,4,2,1
8811125,ROBO DE MOTOCICLETA SIN VIOLENCIA,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,Femenino,41.0,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2020,Noviembre,Benito Juárez,MODERNA,CALZADA DE TLALPAN,,19.3923590318887,-99.1380715397,11,ROBO DE MOTOCICLETA SIN VIOLENCIA,5,2,1
8650184,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,Masculino,48.0,MORAL,VICTIMA Y DENUNCIANTE,FUERO COMUN,2020,Marzo,Iztapalapa,LOS REYES CULHUACÁN,5 DE MAYO,ENTRE MORELOS,19.3442088033015,-99.1086073003101,8,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,5,2,1
8416794,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,Masculino,39.0,FISICA,OFENDIDO Y DENUNCIANTE,FUERO COMUN,2019,Mayo,Cuauhtémoc,CENTRO,CIRCUNVALACION,,19.42329,-99.12593,1,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,5,2,1
8698007,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,Masculino,22.0,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2020,Mayo,Tlalpan,,CALZADA DE LAS BRUJAS,,,,21,ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA,5,2,1
